id,infinitiv,presens,preteritum,perfektum,inflId
A41663nb,nøytralisere,nøytraliserer,nøytraliserte,nøytralisert,P020nb
A43996nb,panere,panerer,panerte,panert,P020nb
A23755nb,hjemkalle,hjemkaller,hjemkalte,hjemkalt,P021nb
A23755nb,heimkalle,heimkaller,heimkalte,heimkalt,P021nb
A3668nb,avlyse,avlyser,avlyste,avlyst,P020nb
A67183nb,vegre,vegrer,vegra,vegra,P001nb
A67183nb,vegre,vegrer,vegret,vegret,P010nb
A44371nb,passiare,passiarer,passiarte,passiart,P020nb
A58524nb,svage,svager,svaga,svaga,P001nb
A58524nb,svage,svager,svaget,svaget,P010nb
A30387nb,klå,klår,klådde,klådd,P040nb
A43873nb,paffe,paffer,paffa,paffa,P001nb
A43873nb,paffe,paffer,paffet,paffet,P010nb
A55296nb,snøfle,snøfler,snøfla,snøfla,P001nb
A55296nb,snøfle,snøfler,snøflet,snøflet,P010nb
A67079nb,vedlegge,vedlegger,vedla,vedlagt,P104nb
A48085nb,remontere,remonterer,remonterte,remontert,P020nb
A5576nb,bestøve,bestøver,bestøva,bestøva,P001nb
A5576nb,bestøve,bestøver,bestøvet,bestøvet,P010nb
A3627nb,avlegge,avlegger,avla,avlagt,P104nb
A25242nb,høve,høver,høvde,høvd,P030nb
A5857nb,bikke,bikker,bikka,bikka,P001nb
A5857nb,bikke,bikker,bikket,bikket,P010nb
A60715nb,tilbakevise,tilbakeviser,tilbakeviste,tilbakevist,P020nb
A5165nb,beleire,beleirer,beleira,beleira,P001nb
A5165nb,beleire,beleirer,beleiret,beleiret,P010nb
A7337nb,braute,brauter,brauta,brauta,P001nb
A7337nb,braute,brauter,brautet,brautet,P010nb
A63345nb,tøffe,tøffer,tøffa,tøffa,P001nb
A63345nb,tøffe,tøffer,tøffet,tøffet,P010nb
A11139nb,dulte,dulter,dulta,dulta,P001nb
A11139nb,dulte,dulter,dultet,dultet,P010nb
A24036nb,hoie,hoier,hoia,hoia,P001nb
A24036nb,hoie,hoier,hoiet,hoiet,P010nb
A45499nb,polstre,polstrer,polstra,polstra,P001nb
A45499nb,polstre,polstrer,polstret,polstret,P010nb
A69619nb,yre,yrer,yret,yret,P010nb
A69619nb,yre,yrer,yrte,yrt,P020nb
A36584nb,maie,maier,maia,maia,P001nb
A36584nb,maie,maier,maiet,maiet,P010nb
A28866nb,kase,kaser,kasa,kasa,P001nb
A28866nb,kase,kaser,kaset,kaset,P010nb
A19176nb,garpe,garper,garpa,garpa,P001nb
A19176nb,garpe,garper,garpet,garpet,P010nb
A39067nb,more,morer,mora,mora,P001nb
A39067nb,more,morer,moret,moret,P010nb
A45888nb,praktisere,praktiserer,praktiserte,praktisert,P020nb
A37185nb,marsjere,marsjerer,marsjerte,marsjert,P020nb
A57775nb,strø,strør,strødde,strødd,P040nb
A97019nb,anonymisere,anonymiserer,anonymiserte,anonymisert,P020nb
A65618nb,utporsjonere,utporsjonerer,utporsjonerte,utporsjonert,P020nb
A66300nb,valse,valser,valsa,valsa,P001nb
A66300nb,valse,valser,valset,valset,P010nb
A39410nb,mugne,mugner,mugna,mugna,P001nb
A39410nb,mugne,mugner,mugnet,mugnet,P010nb
A31281nb,konsentrere,konsentrerer,konsentrerte,konsentrert,P020nb
A37084nb,marinere,marinerer,marinerte,marinert,P020nb
A58648nb,sveive,sveiver,sveiva,sveiva,P001nb
A58648nb,sveive,sveiver,sveivet,sveivet,P010nb
A58648nb,sveive,sveiver,sveivde,sveivd,P030nb
A16438nb,forkorte,forkorter,forkorta,forkorta,P001nb
A16438nb,forkorte,forkorter,forkortet,forkortet,P010nb
A4947nb,beglo,beglor,beglodde,beglodd,P040nb
A31704nb,korsfeste,korsfester,korsfesta,korsfesta,P001nb
A31704nb,korsfeste,korsfester,korsfestet,korsfestet,P010nb
A12542nb,emne,emner,emna,emna,P001nb
A12542nb,emne,emner,emnet,emnet,P010nb
A51465nb,sikte,sikter,sikta,sikta,P001nb
A51465nb,sikte,sikter,siktet,siktet,P010nb
A39546nb,murre,murrer,murra,murra,P001nb
A39546nb,murre,murrer,murret,murret,P010nb
A8730nb,celebrere,celebrerer,celebrerte,celebrert,P020nb
A8730nb,selebrere,selebrerer,selebrerte,selebrert,P020nb
A57323nb,stokke,stokker,stokka,stokka,P001nb
A57323nb,stokke,stokker,stokket,stokket,P010nb
A9839nb,desidere,desiderer,desiderte,desidert,P020nb
A31087nb,kompromittere,kompromitterer,kompromitterte,kompromittert,P020nb
A53158nb,skjønnmale,skjønnmaler,skjønnmalte,skjønnmalt,P020nb
A54821nb,smile,smiler,smilte,smilt,P020nb
A14570nb,fikle,fikler,fikla,fikla,P001nb
A14570nb,fikle,fikler,fiklet,fiklet,P010nb
A69183nb,vulke,vulker,vulka,vulka,P001nb
A69183nb,vulke,vulker,vulket,vulket,P010nb
A31142nb,konferere,konfererer,konfererte,konferert,P020nb
A569nb,aksle,aksler,aksla,aksla,P001nb
A569nb,aksle,aksler,akslet,akslet,P010nb
A70598nb,overstyre,overstyrer,overstyrte,overstyrt,P020nb
A44565nb,penetrere,penetrerer,penetrerte,penetrert,P020nb
A17200nb,forundre,forundrer,forundra,forundra,P001nb
A17200nb,forundre,forundrer,forundret,forundret,P010nb
A68608nb,vinterisolere,vinterisolerer,vinterisolerte,vinterisolert,P020nb
A31058nb,komplettere,kompletterer,kompletterte,komplettert,P020nb
A38676nb,misse,misser,missa,missa,P001nb
A38676nb,misse,misser,misset,misset,P010nb
A22968nb,hele,heler,hela,hela,P001nb
A22968nb,hele,heler,helet,helet,P010nb
A22968nb,hele,heler,helte,helt,P020nb
A55068nb,snauhogge,snauhogger,snauhogde,snauhogd,P031nb
A55068nb,snauhogge,snauhogger,snauhogg,snauhogd,P052nb
A55068nb,snauhugge,snauhugger,snauhugget,snauhugget,P010nb
A55068nb,snauhugge,snauhugger,snauhugde,snauhugd,P031nb
A55068nb,snauhugge,snauhugger,snauhugg,snauhugd,P052nb
A37429nb,mattere,matterer,matterte,mattert,P020nb
A34290nb,legge,legger,la,lagt,P104nb
A69566nb,ymte,ymter,ymta,ymta,P001nb
A69566nb,ymte,ymter,ymtet,ymtet,P010nb
A39417nb,mukke,mukker,mukka,mukka,P001nb
A39417nb,mukke,mukker,mukket,mukket,P010nb
A62709nb,tråkke,tråkker,tråkka,tråkka,P001nb
A62709nb,tråkke,tråkker,tråkket,tråkket,P010nb
A29698nb,kjæte,kjæter,kjætte,kjætt,P020nb
A48591nb,rime,rimer,rima,rima,P001nb
A48591nb,rime,rimer,rimet,rimet,P010nb
A48591nb,rime,rimer,rimte,rimt,P020nb
A50838nb,semske,semsker,semska,semska,P001nb
A50838nb,semske,semsker,semsket,semsket,P010nb
A37679nb,meisle,meisler,meisla,meisla,P001nb
A37679nb,meisle,meisler,meislet,meislet,P010nb
A51205nb,sexdebutere,sexdebuterer,sexdebuterte,sexdebutert,P020nb
A32077nb,krible,kribler,kribla,kribla,P001nb
A32077nb,krible,kribler,kriblet,kriblet,P010nb
A43298nb,oreigne,oreigner,oreigna,oreigna,P001nb
A43298nb,oreigne,oreigner,oreignet,oreignet,P010nb
A3705nb,avnorske,avnorsker,avnorska,avnorska,P001nb
A3705nb,avnorske,avnorsker,avnorsket,avnorsket,P010nb
A62173nb,trette,tretter,tretta,tretta,P001nb
A62173nb,trette,tretter,trettet,trettet,P010nb
A1043nb,åpne,åpner,åpna,åpna,P001nb
A1043nb,åpne,åpner,åpnet,åpnet,P010nb
A12501nb,emansipere,emansiperer,emansiperte,emansipert,P020nb
A59244nb,søke,søker,søkte,søkt,P020nb
A17092nb,forte,forter,forta,forta,P001nb
A17092nb,forte,forter,fortet,fortet,P010nb
A70755nb,syndikere,syndikerer,syndikerte,syndikert,P020nb
A61380nb,tolerere,tolererer,tolererte,tolerert,P020nb
A42495nb,oppklare,oppklarer,oppklarte,oppklart,P020nb
A57937nb,stutne,stutner,stutna,stutna,P001nb
A57937nb,stutne,stutner,stutnet,stutnet,P010nb
A2022nb,anodisere,anodiserer,anodiserte,anodisert,P020nb
A41884nb,okkultere,okkulterer,okkulterte,okkultert,P020nb
A62948nb,turnere,turnerer,turnerte,turnert,P020nb
A17262nb,forverre,forverrer,forverra,forverra,P001nb
A17262nb,forverre,forverrer,forverret,forverret,P010nb
A52685nb,skeivle,skeivler,skeivla,skeivla,P001nb
A52685nb,skeivle,skeivler,skeivlet,skeivlet,P010nb
A12313nb,elektrifisere,elektrifiserer,elektrifiserte,elektrifisert,P020nb
A51314nb,sidestille,sidestiller,sidestilte,sidestilt,P021nb
A30875nb,kolonisere,koloniserer,koloniserte,kolonisert,P020nb
A36096nb,lure,lurer,lurte,lurt,P020nb
A22410nb,hardne,hardner,hardna,hardna,P001nb
A22410nb,hardne,hardner,hardnet,hardnet,P010nb
A17110nb,fortenke,fortenker,fortenkte,fortenkt,P020nb
A24343nb,hovere,hoverer,hoverte,hovert,P020nb
A54813nb,smigre,smigrer,smigra,smigra,P001nb
A54813nb,smigre,smigrer,smigret,smigret,P010nb
A34021nb,lauge,lauger,lauga,lauga,P001nb
A34021nb,lauge,lauger,lauget,lauget,P010nb
A16753nb,forrykke,forrykker,forrykka,forrykka,P001nb
A16753nb,forrykke,forrykker,forrykket,forrykket,P010nb
A16753nb,forrykke,forrykker,forrykte,forrykt,P021nb
A48313nb,resultere,resulterer,resulterte,resultert,P020nb
A43377nb,ornamentere,ornamenterer,ornamenterte,ornamentert,P020nb
A57169nb,stilisere,stiliserer,stiliserte,stilisert,P020nb
A7922nb,brøyte,brøyter,brøyta,brøyta,P001nb
A7922nb,brøyte,brøyter,brøytet,brøytet,P010nb
A6247nb,blaffe,blaffer,blaffa,blaffa,P001nb
A6247nb,blaffe,blaffer,blaffet,blaffet,P010nb
A26538nb,innlede,innleder,innleda,innleda,P001nb
A26538nb,innlede,innleder,innledet,innledet,P010nb
A26538nb,innleie,innleier,innleide,innleid,P030nb
A54252nb,slamre,slamrer,slamra,slamra,P001nb
A54252nb,slamre,slamrer,slamret,slamret,P010nb
A459nb,akkompagnere,akkompagnerer,akkompagnerte,akkompagnert,P020nb
A64860nb,uroe,uroer,uroa,uroa,P001nb
A64860nb,uroe,uroer,uroet,uroet,P010nb
A64860nb,uroe,uroer,urodde,urodd,P043nb
A31863nb,krafse,krafser,krafsa,krafsa,P001nb
A31863nb,krafse,krafser,krafset,krafset,P010nb
A15738nb,fnyse,fnyser,fnyste,fnyst,P020nb
A70763nb,zappe,zapper,zappa,zappa,P001nb
A70763nb,zappe,zapper,zappet,zappet,P010nb
A28264nb,kaldsmi,kaldsmir,kaldsmidde,kaldsmidd,P040nb
A55240nb,snurre,snurrer,snurra,snurra,P001nb
A55240nb,snurre,snurrer,snurret,snurret,P010nb
A43713nb,overraske,overrasker,overraska,overraska,P001nb
A43713nb,overraske,overrasker,overrasket,overrasket,P010nb
A42171nb,omorganisere,omorganiserer,omorganiserte,omorganisert,P020nb
A7077nb,bortbygsle,bortbygsler,bortbygsla,bortbygsla,P001nb
A7077nb,bortbygsle,bortbygsler,bortbygslet,bortbygslet,P010nb
A56198nb,spjære,spjærer,spjæra,spjæra,P001nb
A56198nb,spjære,spjærer,spjæret,spjæret,P010nb
A56198nb,spjære,spjærer,spjærte,spjært,P020nb
A57620nb,strene,strener,strena,strena,P001nb
A57620nb,strene,strener,strenet,strenet,P010nb
A57620nb,strene,strener,strente,strent,P020nb
A6394nb,blidgjøre,blidgjør,blidgjorde,blidgjort,P126nb
A4138nb,bakke,bakker,bakka,bakka,P001nb
A4138nb,bakke,bakker,bakket,bakket,P010nb
A15530nb,fluorescere,fluorescerer,fluorescerte,fluorescert,P020nb
A60891nb,tilrede,tilreder,tilreda,tilreda,P001nb
A60891nb,tilrede,tilreder,tilredet,tilredet,P010nb
A64285nb,underforsikre,underforsikrer,underforsikra,underforsikra,P001nb
A64285nb,underforsikre,underforsikrer,underforsikret,underforsikret,P010nb
A26810nb,inokulere,inokulerer,inokulerte,inokulert,P020nb
A38666nb,misoppfatte,misoppfatter,misoppfatta,misoppfatta,P001nb
A38666nb,misoppfatte,misoppfatter,misoppfattet,misoppfattet,P010nb
A41982nb,olje,oljer,olja,olja,P001nb
A41982nb,olje,oljer,oljet,oljet,P010nb
A16413nb,forkjøle,forkjøler,forkjøla,forkjøla,P001nb
A16413nb,forkjøle,forkjøler,forkjølet,forkjølet,P010nb
A16413nb,forkjøle,forkjøler,forkjølte,forkjølt,P020nb
A23997nb,hofferde,hofferder,hofferda,hofferda,P001nb
A23997nb,hofferde,hofferder,hofferdet,hofferdet,P010nb
A58540nb,svale,svaler,svala,svala,P001nb
A58540nb,svale,svaler,svalet,svalet,P010nb
A58540nb,svale,svaler,svalte,svalt,P020nb
A5169nb,belesse,belesser,belessa,belessa,P001nb
A5169nb,belesse,belesser,belesset,belesset,P010nb
A5169nb,belesse,belesser,beleste,belest,P021nb
A53908nb,skvaldre,skvaldrer,skvaldra,skvaldra,P001nb
A53908nb,skvaldre,skvaldrer,skvaldret,skvaldret,P010nb
A9610nb,delegere,delegerer,delegerte,delegert,P020nb
A44924nb,pile,piler,pilte,pilt,P020nb
A28583nb,kantre,kantrer,kantra,kantra,P001nb
A28583nb,kantre,kantrer,kantret,kantret,P010nb
A37681nb,meite,meiter,meita,meita,P001nb
A37681nb,meite,meiter,meitet,meitet,P010nb
A21077nb,grovsikte,grovsikter,grovsikta,grovsikta,P001nb
A21077nb,grovsikte,grovsikter,grovsiktet,grovsiktet,P010nb
A27700nb,jevne,jevner,jevna,jevna,P001nb
A27700nb,jevne,jevner,jevnet,jevnet,P010nb
A27700nb,jamne,jamner,jamna,jamna,P001nb
A27700nb,jamne,jamner,jamnet,jamnet,P010nb
A18861nb,gafle,gafler,gafla,gafla,P001nb
A18861nb,gafle,gafler,gaflet,gaflet,P010nb
A21387nb,gråle,gråler,grålte,grålt,P020nb
A40763nb,nevne,nevner,nevnte,nevnt,P020nb
A61042nb,tindre,tindrer,tindra,tindra,P001nb
A61042nb,tindre,tindrer,tindret,tindret,P010nb
A23270nb,hente,henter,henta,henta,P001nb
A23270nb,hente,henter,hentet,hentet,P010nb
A35015nb,levendegjøre,levendegjør,levendegjorde,levendegjort,P126nb
A32896nb,kurve,kurver,kurva,kurva,P001nb
A32896nb,kurve,kurver,kurvet,kurvet,P010nb
A15351nb,flerre,flerrer,flerra,flerra,P001nb
A15351nb,flerre,flerrer,flerret,flerret,P010nb
A15351nb,flære,flærer,flæra,flæra,P001nb
A15351nb,flære,flærer,flæret,flæret,P010nb
A11987nb,eksersere,ekserserer,ekserserte,eksersert,P020nb
A41312nb,nydyrke,nydyrker,nydyrka,nydyrka,P001nb
A41312nb,nydyrke,nydyrker,nydyrket,nydyrket,P010nb
A42259nb,omvelte,omvelter,omvelta,omvelta,P001nb
A42259nb,omvelte,omvelter,omveltet,omveltet,P010nb
A28250nb,kaldflire,kaldflirer,kaldflirte,kaldflirt,P020nb
A98367nb,homologere,homologerer,homologerte,homologert,P020nb
A53968nb,skyggelegge,skyggelegger,skyggela,skyggelagt,P104nb
A37154nb,marme,marmer,marma,marma,P001nb
A37154nb,marme,marmer,marmet,marmet,P010nb
A45948nb,preferere,prefererer,prefererte,preferert,P020nb
A60660nb,tigge,tigger,tigga,tigga,P001nb
A60660nb,tigge,tigger,tigget,tigget,P010nb
A60660nb,tigge,tigger,tigde,tigd,P031nb
A45088nb,pjoltre,pjoltrer,pjoltra,pjoltra,P001nb
A45088nb,pjoltre,pjoltrer,pjoltret,pjoltret,P010nb
A18818nb,føyse,føyser,føyste,føyst,P020nb
A16290nb,forgrove,forgrover,forgrova,forgrova,P001nb
A16290nb,forgrove,forgrover,forgrovet,forgrovet,P010nb
A10775nb,dratte,dratter,dratta,dratta,P001nb
A10775nb,dratte,dratter,drattet,drattet,P010nb
A29287nb,kinkse,kinkser,kinksa,kinksa,P001nb
A29287nb,kinkse,kinkser,kinkset,kinkset,P010nb
A13635nb,faktorisere,faktoriserer,faktoriserte,faktorisert,P020nb
A34345nb,leike,leiker,leika,leika,P001nb
A34345nb,leike,leiker,leiket,leiket,P010nb
A34345nb,leike,leiker,leikte,leikt,P020nb
A32885nb,kurtisere,kurtiserer,kurtiserte,kurtisert,P020nb
A13223nb,etikettere,etiketterer,etiketterte,etikettert,P020nb
A16994nb,forstøtte,forstøtter,forstøtta,forstøtta,P001nb
A16994nb,forstøtte,forstøtter,forstøttet,forstøttet,P010nb
A63202nb,tykke,tykker,tykte,tykt,P021nb
A16225nb,forfekte,forfekter,forfekta,forfekta,P001nb
A16225nb,forfekte,forfekter,forfektet,forfektet,P010nb
A46681nb,provosere,provoserer,provoserte,provosert,P020nb
A6643nb,blære,blærer,blæra,blæra,P001nb
